Gender,Age,Frequency,Median,Minus2SD,Plus2SD
Male,20s,0.25kHz,0,-4.762,4.762
Male,20s,0.5kHz,0,-4.762,4.762
Male,20s,1kHz,0,-5.292,5.292
Male,20s,2kHz,0,-6.879,6.879
Male,20s,4kHz,0,-9.525,9.525
Male,20s,8kHz,0,-12.7,12.7
Male,30s,0.25kHz,0.2,-7.222,7.622
Male,30s,0.5kHz,0.3,-7.122,7.722
Male,30s,1kHz,0.3,-7.946,8.546
Male,30s,2kHz,0.6,-10.12,11.32
Male,30s,4kHz,1.1,-13.743,15.943
Male,30s,8kHz,1.6,-18.191,21.391
Male,40s,0.25kHz,0.9,-8.453,10.253
Male,40s,0.5kHz,1.2,-8.153,10.553
Male,40s,1kHz,1.6,-8.792,11.992
Male,40s,2kHz,2.6,-10.91,16.11
Male,40s,4kHz,4.5,-14.206,23.206
Male,40s,8kHz,6.8,-18.142,31.742
Male,50s,0.25kHz,2.5,-8.449,13.449
Male,50s,0.5kHz,3,-7.949,13.949
Male,50s,1kHz,4,-8.166,16.166
Male,50s,2kHz,6.5,-9.315,22.315
Male,50s,4kHz,10.7,-11.198,32.598
Male,50s,8kHz,16.1,-13.097,45.297
Male,60s,0.25kHz,5.5,-6.84,17.84
Male,60s,0.5kHz,6,-6.34,18.34
Male,60s,1kHz,7.8,-5.911,21.511
Male,60s,2kHz,12.5,-5.325,30.325
Male,60s,4kHz,20.2,-4.48,44.88
Male,60s,8kHz,30.4,-2.507,63.307
Male,70s,0.25kHz,10.1,-3.49,23.69
Male,70s,0.5kHz,10.4,-3.19,23.99
Male,70s,1kHz,13.4,-1.7,28.5
Male,70s,2kHz,20.8,1.17,40.43
Male,70s,4kHz,33.2,6.021,60.379
Male,70s,8kHz,50,13.761,86.239
Female,20s,0.25kHz,0,-4.233,4.233
Female,20s,0.5kHz,0,-4.233,4.233
Female,20s,1kHz,0,-4.762,4.762
Female,20s,2kHz,0,-5.821,5.821
Female,20s,4kHz,0,-7.408,7.408
Female,20s,8kHz,0,-10.054,10.054
Female,30s,0.25kHz,0.2,-6.397,6.797
Female,30s,0.5kHz,0.2,-6.397,6.797
Female,30s,1kHz,0.2,-7.222,7.622
Female,30s,2kHz,0.3,-8.771,9.371
Female,30s,4kHz,0.5,-11.045,12.045
Female,30s,8kHz,1.1,-14.568,16.768
Female,40s,0.25kHz,1.1,-7.214,9.414
Female,40s,0.5kHz,1.1,-7.214,9.414
Female,40s,1kHz,1.3,-8.053,10.653
Female,40s,2kHz,1.7,-9.732,13.132
Female,40s,4kHz,2.7,-11.849,17.249
Female,40s,8kHz,4.8,-14.945,24.545
Female,50s,0.25kHz,2.9,-6.832,12.632
Female,50s,0.5kHz,3.1,-6.632,12.832
Female,50s,1kHz,3.7,-7.249,14.649
Female,50s,2kHz,5,-8.382,18.382
Female,50s,4kHz,7.4,-9.632,24.432
Female,50s,8kHz,11.9,-11.214,35.014
Female,60s,0.25kHz,5.9,-5.069,16.869
Female,60s,0.5kHz,6.5,-4.469,17.469
Female,60s,1kHz,7.9,-4.44,20.24
Female,60s,2kHz,10.6,-4.482,25.682
Female,60s,4kHz,15.3,-3.896,34.496
Female,60s,8kHz,23,-3.051,49.051
Female,70s,0.25kHz,10.2,-1.88,22.28
Female,70s,0.5kHz,11.6,-0.48,23.68
Female,70s,1kHz,14.4,0.81,27.99
Female,70s,2kHz,19.3,2.69,35.91
Female,70s,4kHz,27,5.86,48.14
Female,70s,8kHz,38.8,10.111,67.489
